Country,Continent,Total
Afghanistan,Asia,7896
Albania,Europe,3598
Algeria,Africa,6881
Andorra,Europe,165
Angola,Africa,1933
Antarctica,Antarctica,0
Antigua and Barbuda,North America,146
Argentina,South America,130472
Armenia,Asia,8727
Australia,Australia,228
Australia,Australia,6529
Australia,Australia,91
Australia,Australia,2783
Australia,Australia,1365
Australia,Australia,256
Australia,Australia,7370
Australia,Australia,952
Austria,Europe,21970
Azerbaijan,Asia,10138
Bahamas,North America,833
Bahrain,Asia,1553
Bangladesh,Asia,29445
Barbados,North America,579
Belarus,Europe,7118
Belgium,Europe,33814
Belize,North America,688
Benin,Africa,163
Bhutan,Asia,21
Bolivia,South America,22365
Bosnia and Herzegovina,Europe,16280
Botswana,Africa,2876
Brazil,South America,699276
Brunei,Asia,225
Bulgaria,Europe,38228
Burkina Faso,Africa,396
Burma,Asia,19490
Burundi,Africa,38
Cabo Verde,Africa,413
Cambodia,Asia,3056
Cameroon,Africa,1965
Canada,North America,5622
Canada,North America,5249
Canada,North America,1
Canada,North America,0
Canada,North America,2464
Canada,North America,834
Canada,North America,318
Canada,North America,22
Canada,North America,794
Canada,North America,7
Canada,North America,16234
Canada,North America,93
Canada,North America,18160
Canada,North America,0
Canada,North America,1890
Canada,North America,32
Central African Republic,Africa,113
Chad,Africa,194
Chile,South America,64273
China,Asia,7
China,Asia,20
China,Asia,11
China,Asia,2
China,Asia,2
China,Asia,10
China,Asia,2
China,Asia,2
China,Asia,6
China,Asia,7
China,Asia,18
China,Asia,23
China,Asia,13467
China,Asia,4515
China,Asia,4
China,Asia,1
China,Asia,0
China,Asia,2
China,Asia,5
China,Asia,2
China,Asia,121
China,Asia,0
China,Asia,0
China,Asia,5
China,Asia,10
China,Asia,595
China,Asia,1
China,Asia,12
China,Asia,3
China,Asia,0
China,Asia,82195
China,Asia,3
China,Asia,4
China,Asia,1
Colombia,South America,142339
Comoros,Africa,161
Republic of the Congo ,Africa,388
Democratic Republic of the Congo,Africa,1464
Costa Rica,North America,9245
Ivory Coast,Africa,834
Croatia,Europe,17987
Cuba,North America,8530
Cyprus,Europe,1330
Czech Republic,Europe,42491
Denmark,Europe,28
Denmark,Europe,21
Denmark,Europe,8296
Diamond Princess,Asia,13
Djibouti,Africa,189
Dominica,North America,74
Dominican Republic,North America,4384
Ecuador,South America,36014
Egypt,Africa,24812
El Salvador,North America,4230
Equatorial Guinea,Africa,183
Eritrea,Africa,103
Estonia,Europe,2946
Eswatini,Africa,1425
Ethiopia,Africa,7572
Fiji,Australia,883
Finland,Europe,8967
France,Europe,413
France,Europe,649
France,Europe,1010
France,Europe,1092
France,Europe,188
France,Europe,314
France,Europe,921
France,Europe,6
France,Europe,2
France,Europe,63
France,Europe,7
France,Europe,161512
Gabon,Africa,306
Gambia,Africa,372
Georgia,Asia,16971
Germany,Europe,168935
Ghana,Africa,1462
Greece,Europe,34779
Grenada,North America,238
Guatemala,North America,20182
Guinea,Africa,467
Guinea Bissau,Africa,176
Guyana,South America,1298
Haiti,North America,860
Holy See,Europe,0
Honduras,North America,11111
Hungary,Europe,48762
Iceland,Europe,263
India,Asia,530779
Indonesia,Asia,160941
Iran,Asia,144933
Iraq,Asia,25375
Ireland,Europe,8708
Israel,Asia,12329
Italy,Europe,188322
Jamaica,North America,3514
Japan,Asia,72997
Jordan,Asia,14122
Kazakhstan,Asia,19071
Kenya,Africa,5688
Kiribati,Australia,18
North Korea,Asia,6
South Korea,Asia,34093
Kosovo,Europe,3211
Kuwait,Asia,2570
Kyrgyzstan,Asia,2991
Laos,Asia,758
Latvia,Europe,6269
Lebanon,Asia,10841
Lesotho,Africa,723
Liberia,Africa,295
Libya,Africa,6437
Liechtenstein,Europe,89
Lithuania,Europe,9596
Luxembourg,Europe,1220
MS Zaandam,North America,2
Madagascar,Africa,1423
Malawi,Africa,2896
Malaysia,Asia,36967
Maldives,Asia,311
Mali,Africa,743
Malta,Europe,828
Marshall Islands,Australia,17
Mauritania,Africa,997
Mauritius,Africa,1044
Mexico,North America,333188
Micronesia,Australia,61
Moldova,Europe,12003
Monaco,Europe,67
Mongolia,Asia,2136
Montenegro,Europe,2808
Morocco,Africa,16296
Mozambique,Africa,2242
Namibia,Africa,4090
Nauru,Australia,1
