Country,Continent,Total
Afghanistan,Asia,82586
Albania,Europe,130314
Algeria,Africa,118409
Andorra,Europe,14380
Angola,Africa,39582
Antarctica,Antarctica,0
Antigua and Barbuda,North America,1239
Argentina,South America,4615834
Armenia,Asia,220438
Australia,Australia,121
Australia,Australia,2997
Australia,Australia,193
Australia,Australia,1727
Australia,Australia,841
Australia,Australia,221
Australia,Australia,20061
Australia,Australia,1039
Austria,Europe,644388
Azerbaijan,Asia,333694
Bahamas,North America,12702
Bahrain,Asia,267220
Bangladesh,Asia,1141157
Barbados,North America,4251
Belarus,Europe,443417
Belgium,Europe,31130
Belize,North America,13543
Benin,Africa,8136
Bhutan,Asia,2418
Bolivia,South America,411830
Bosnia and Herzegovina,Europe,189710
Botswana,Africa,96964
Brazil,South America,17771228
Brunei,Asia,280
Bulgaria,Europe,398721
Burkina Faso,Africa,13385
Burma,Asia,225849
Burundi,Africa,773
Cabo Verde,Africa,33173
Cambodia,Asia,72803
Cameroon,Africa,35261
Canada,North America,1405971
Central African Republic,Africa,6859
Chad,Africa,4796
Chile,South America,1575377
China,Asia,1002
China,Asia,1068
China,Asia,593
China,Asia,702
China,Asia,193
China,Asia,2822
China,Asia,273
China,Asia,145
China,Asia,182
China,Asia,1310
China,Asia,1599
China,Asia,1295
China,Asia,11721
China,Asia,64435
China,Asia,1064
China,Asia,398
China,Asia,752
China,Asia,936
China,Asia,570
China,Asia,428
China,Asia,54
China,Asia,76
China,Asia,18
China,Asia,633
China,Asia,876
China,Asia,2253
China,Asia,253
China,Asia,1113
China,Asia,400
China,Asia,1
China,Asia,39
China,Asia,977
China,Asia,477
China,Asia,1377
Colombia,South America,4615354
Comoros,Africa,3873
Republic of the Congo,Africa,12421
Democratic Republic of the Congo,Africa,30043
Costa Rica,North America,334759
Ivory Coast,Africa,49642
Croatia,Europe,354830
Cuba,North America,373354
Cyprus,Europe,39061
Czech Republic,Europe,1641321
Denmark,Europe,963
Denmark,Europe,87
Denmark,Europe,306324
Diamond Princess,Asia,699
Djibouti,Africa,11491
Dominica,North America,209
Dominican Republic,North America,324861
Ecuador,South America,443880
Egypt,Africa,232179
El Salvador,North America,76670
Equatorial Guinea,Africa,8709
Eritrea,Africa,6475
Estonia,Europe,129183
Eswatini,Africa,22127
